sym,date,dir,sess,cat,entry,exit,er,lot,pnl,tp1hit,q,balance,month
GER40.cash,2026-01-21,SHORT,LONDON,Index,24653.26,24692.46,SL,1.44,-56.45,False,8,18824.76,2026-01
GBPUSD,2026-01-22,LONG,LONDON,Major,1.34104,1.34376,TP2,0.52,141.7,True,8,18966.46,2026-01
GBPUSD,2026-01-23,LONG,LONDON,Major,1.34851,1.35138,TP2,0.49,140.87,True,8,19107.33,2026-01
EURNZD,2026-01-23,SHORT,LONDON,Cross,1.98914,1.98914,TRAIL,0.34,29.07,True,8,19136.4,2026-01
AUDUSD,2026-01-27,LONG,LONDON,Major,0.6908,0.69142,TRAIL,0.65,49.17,True,9,19185.57,2026-01
EURNZD,2026-01-27,SHORT,LONDON,Cross,1.98982,1.98851,TRAIL,0.47,59.71,True,8,19245.28,2026-01
EURUSD,2026-01-28,LONG,LONDON,Major,1.19716,1.1984,TRAIL,0.63,68.17,True,9,19313.45,2026-01
GER40.cash,2026-01-28,SHORT,LONDON,Index,24917.66,24878.71,TRAIL,1.68,61.7,True,8,19375.15,2026-01
GBPCAD,2026-01-29,LONG,LONDON,Cross,1.86922,1.87184,TP2,0.55,144.37,True,8,19519.52,2026-01
EURUSD,2026-01-30,LONG,NY,Major,1.19462,1.19126,SL,0.17,-57.12,False,9,19462.4,2026-01
GBPAUD,2026-01-30,SHORT,LONDON,Cross,1.96626,1.96288,TRAIL,0.16,56.45,True,8,19518.85,2026-01
GBPCAD,2026-02-03,LONG,NY,Cross,1.86804,1.86833,EOD,0.84,24.36,False,8,19543.21,2026-02
EURNZD,2026-02-04,SHORT,LONDON,Cross,1.95686,1.95974,SL,0.54,-155.52,False,8,19387.69,2026-02
NZDUSD,2026-02-04,LONG,LONDON,Major,0.60345,0.60418,TRAIL,1.28,123.97,True,7,19511.66,2026-02
AUDUSD,2026-02-05,LONG,LONDON,Major,0.69716,0.69727,TRAIL,0.92,83.26,True,9,19594.92,2026-02
EURNZD,2026-02-05,SHORT,LONDON,Cross,1.97029,1.97145,SL,1.35,-156.6,False,8,19438.32,2026-02
GBPAUD,2026-02-06,SHORT,LONDON,Cross,1.95282,1.95128,TRAIL,0.84,142.59,True,8,19580.91,2026-02
USDCHF,2026-02-06,LONG,LONDON,Major,0.77679,0.77803,TRAIL,1.15,149.62,True,7,19730.53,2026-02
GBPUSD,2026-02-10,LONG,LONDON,Major,1.36649,1.36649,TRAIL,1.36,78.88,True,8,19809.41,2026-02
EURNZD,2026-02-10,SHORT,LONDON,Cross,1.97131,1.96994,TRAIL,0.78,132.91,True,8,19942.32,2026-02
GBPUSD,2026-02-11,LONG,NY,Major,1.36354,1.36555,EOD,0.44,88.44,False,8,20030.76,2026-02
XAUUSD,2026-02-12,LONG,LONDON,Metal,5067.19,5050.13,SL,0.06,-102.36,False,10,19928.4,2026-02
GBPCAD,2026-02-12,SHORT,LONDON,Cross,1.85121,1.85057,TRAIL,1.0,111.65,True,8,20040.05,2026-02
AUDUSD,2026-02-13,LONG,LONDON,Major,0.70758,0.70521,SL,0.68,-161.16,False,9,19878.89,2026-02
GBPUSD,2026-02-13,SHORT,LONDON,Major,1.36259,1.36065,TRAIL,1.26,201.73,True,8,20080.62,2026-02
EURNZD,2026-02-17,SHORT,LONDON,Cross,1.96435,1.96228,TRAIL,1.26,210.36,True,8,20290.98,2026-02
AUDUSD,2026-02-18,LONG,LONDON,Major,0.70642,0.7075,TRAIL,1.82,179.54,True,9,20470.52,2026-02
GBPUSD,2026-02-18,SHORT,LONDON,Major,1.35677,1.35368,EOD_trail,0.84,211.68,True,8,20682.2,2026-02
EURNZD,2026-02-19,LONG,LONDON,Cross,1.97203,1.97043,SL,1.03,-164.8,False,8,20517.4,2026-02
NZDUSD,2026-02-19,SHORT,LONDON,Major,0.59863,0.59774,TRAIL,1.38,143.73,True,7,20661.13,2026-02
AUDUSD,2026-02-20,LONG,LONDON,Major,0.70427,0.70525,TRAIL,0.87,124.98,True,9,20786.11,2026-02
GBPAUD,2026-02-20,SHORT,LONDON,Cross,1.90928,1.9075,TRAIL,0.65,141.11,True,8,20927.22,2026-02
EURNZD,2026-02-24,LONG,NY,Cross,1.97643,1.97856,TRAIL,0.67,154.87,True,8,21082.09,2026-02
GER40.cash,2026-02-24,SHORT,LONDON,Index,25027.41,24910.66,TP2,3.61,421.47,True,8,21503.56,2026-02
GBPUSD,2026-02-25,SHORT,LONDON,Major,1.35191,1.35123,TRAIL,0.7,110.22,True,8,21613.78,2026-02
EURNZD,2026-02-25,LONG,LONDON,Cross,1.97236,1.97406,TRAIL,0.69,144.66,True,8,21758.44,2026-02
GBPCAD,2026-02-26,LONG,NY,Cross,1.85231,1.85386,EOD_trail,0.82,150.88,True,8,21909.32,2026-02
GBPUSD,2026-02-27,SHORT,LONDON,Major,1.3492,1.34738,TRAIL,1.23,199.51,True,8,22108.83,2026-02
GER40.cash,2026-02-27,LONG,NY,Index,25220.31,25218.11,EOD_trail,4.89,83.06,True,8,22191.89,2026-02
AUDCHF,2026-03-03,LONG,NY,Cross,0.55124,0.55001,SL,1.44,-177.12,False,5,22014.77,2026-03
EURUSD,2026-03-04,SHORT,LONDON,Major,1.16255,1.15992,TP2,1.68,441.0,True,9,22455.77,2026-03
EURNZD,2026-03-04,LONG,LONDON,Cross,1.96671,1.96719,TRAIL,1.06,115.17,True,8,22570.94,2026-03
EURNZD,2026-03-05,SHORT,LONDON,Cross,1.96179,1.95814,TP2,1.24,452.6,True,8,23023.54,2026-03
AUDNZD,2026-03-05,LONG,NY,Cross,1.19026,1.19023,EOD,1.1,-3.3,False,4,23020.24,2026-03
EURUSD,2026-03-06,SHORT,LONDON,Major,1.161,1.15735,TP2,1.26,459.9,True,9,23480.14,2026-03
EURNZD,2026-03-06,LONG,LONDON,Cross,1.96372,1.96632,TP2,1.81,470.6,True,8,23950.74,2026-03
EURUSD,2026-03-10,SHORT,LONDON,Major,1.16355,1.16456,SL,1.9,-191.9,False,9,23758.84,2026-03
USDCHF,2026-03-10,LONG,LONDON,Major,0.77688,0.77575,SL,1.68,-189.84,False,7,23569.0,2026-03
HK50.cash,2026-03-11,LONG,LONDON,Index,25963.98,25905.58,SL,3.23,-188.63,False,9,23380.37,2026-03
EURNZD,2026-03-11,SHORT,LONDON,Cross,1.95939,1.95939,TRAIL,1.24,93.62,True,8,23473.99,2026-03
XAUUSD,2026-03-12,LONG,LONDON,Metal,5154.95,5176.35,TP2,0.14,299.6,True,10,23773.59,2026-03
EURNZD,2026-03-12,SHORT,LONDON,Cross,1.95764,1.95628,TRAIL,1.56,201.55,True,8,23975.14,2026-03
HK50.cash,2026-03-13,SHORT,LONDON,Index,25544.28,25370.58,TRAIL,2.08,276.33,True,9,24251.47,2026-03
AUDUSD,2026-03-17,LONG,LONDON,Major,0.70525,0.70694,TRAIL,1.69,239.56,True,9,24491.03,2026-03
GBPAUD,2026-03-17,SHORT,LONDON,Cross,1.88601,1.87961,TP2,0.77,492.8,True,8,24983.83,2026-03
XAUUSD,2026-03-18,SHORT,LONDON,Metal,5008.35,4991.0,TP2,0.18,312.3,True,10,25296.13,2026-03
EURUSD,2026-03-18,LONG,NY,Major,1.15267,1.15371,TRAIL,2.15,212.64,True,9,25508.77,2026-03
HK50.cash,2026-03-19,SHORT,LONDON,Index,25582.18,25407.755,TP2,2.92,509.32,True,9,26018.09,2026-03
GBPAUD,2026-03-19,LONG,NY,Cross,1.88251,1.88621,TP2,1.41,521.7,True,8,26539.79,2026-03
EURUSD,2026-03-20,LONG,NY,Major,1.15361,1.15586,TP2,2.36,531.0,True,9,27070.79,2026-03
HK50.cash,2026-03-20,SHORT,LONDON,Index,25293.48,25195.38,TRAIL,3.83,296.25,True,9,27367.04,2026-03
EURUSD,2026-03-24,LONG,LONDON,Major,1.15871,1.16039,TRAIL,1.37,224.68,True,9,27591.72,2026-03
AUDNZD,2026-03-25,SHORT,LONDON,Cross,1.19856,1.19676,TRAIL,1.34,231.48,True,4,27823.2,2026-03
EURUSD,2026-03-26,LONG,LONDON,Major,1.1556,1.15437,SL,1.81,-222.63,False,9,27600.57,2026-03
GBPAUD,2026-03-27,LONG,LONDON,Cross,1.93079,1.93364,TP2,1.94,552.9,True,8,28153.47,2026-03
AUDCHF,2026-03-27,SHORT,LONDON,Cross,0.54877,0.54816,EOD,1.37,83.57,False,5,28237.04,2026-03
GBPAUD,2026-03-31,LONG,NY,Cross,1.92223,1.9266,TP2,1.29,564.37,True,8,28801.41,2026-03
AUDNZD,2026-03-31,SHORT,LONDON,Cross,1.1993,1.20058,SL,1.8,-230.4,False,4,28571.01,2026-03
AUDUSD,2026-04-01,SHORT,LONDON,Major,0.69033,0.69144,SL,2.06,-228.66,False,9,28342.35,2026-04
EURNZD,2026-04-01,LONG,LONDON,Cross,2.00864,2.01139,TP2,2.06,566.5,True,8,28908.85,2026-04
AUDCHF,2026-04-02,LONG,LONDON,Cross,0.54905,0.54967,TRAIL,2.01,178.39,True,5,29087.24,2026-04
GBPUSD,2026-04-03,SHORT,LONDON,Major,1.32414,1.32369,TRAIL,2.08,163.7,True,8,29250.94,2026-04
GBPCAD,2026-04-03,LONG,NY,Cross,1.83877,1.84199,EOD_trail,1.16,303.34,True,8,29554.28,2026-04
XAUUSD,2026-04-07,LONG,LONDON,Metal,4645.93,4657.292,TRAIL,0.2,186.22,True,10,29740.5,2026-04
GBPUSD,2026-04-07,SHORT,LONDON,Major,1.32435,1.32578,SL,1.66,-237.38,False,8,29503.12,2026-04
AUDUSD,2026-04-09,LONG,LONDON,Major,0.70288,0.70423,TRAIL,2.29,272.62,True,9,29775.74,2026-04
GBPAUD,2026-04-09,SHORT,LONDON,Cross,1.90378,1.90474,SL,2.48,-238.08,False,8,29537.66,2026-04
EURUSD,2026-04-10,LONG,LONDON,Major,1.16947,1.16817,SL,1.82,-236.6,False,9,29301.06,2026-04
GBPAUD,2026-04-10,SHORT,LONDON,Cross,1.89861,1.90021,SL,1.47,-235.2,False,8,29065.86,2026-04
AUDUSD,2026-04-14,LONG,LONDON,Major,0.70813,0.71123,TP2,1.88,582.8,True,9,29648.66,2026-04
EURNZD,2026-04-14,SHORT,LONDON,Cross,2.00422,2.00291,TRAIL,1.01,185.08,True,8,29833.74,2026-04
GBPCAD,2026-04-15,LONG,LONDON,Cross,1.86665,1.86802,TRAIL,1.97,253.83,True,8,30087.57,2026-04
USDCAD,2026-04-15,SHORT,LONDON,Major,1.37776,1.37694,TRAIL,2.11,206.57,True,7,30294.14,2026-04
EURNZD,2026-04-16,SHORT,LONDON,Cross,1.99659,1.99659,TRAIL,1.69,120.83,True,8,30414.97,2026-04
XAUUSD,2026-04-17,LONG,LONDON,Metal,4781.56,4789.335,TP2,0.49,380.97,True,10,30795.94,2026-04
EURNZD,2026-04-17,SHORT,LONDON,Cross,2.0013,2.00319,SL,1.3,-245.7,False,8,30550.24,2026-04
HK50.cash,2026-04-21,LONG,LONDON,Index,26438.58,26454.406,TRAIL,7.19,179.05,True,9,30729.29,2026-04
GBPAUD,2026-04-21,SHORT,LONDON,Cross,1.88749,1.88495,EOD_trail,1.12,265.44,True,8,30994.73,2026-04
HK50.cash,2026-04-22,LONG,LONDON,Index,26129.68,26164.816,TRAIL,3.8,190.79,True,9,31185.52,2026-04
GBPCAD,2026-04-22,SHORT,LONDON,Cross,1.84599,1.84537,TRAIL,1.54,172.79,True,8,31358.31,2026-04
GBPAUD,2026-04-23,SHORT,LONDON,Cross,1.88703,1.88675,TRAIL,1.9,152.38,True,8,31510.69,2026-04
GER40.cash,2026-04-23,LONG,LONDON,Index,24130.01,24002.31,SL,1.97,-251.57,False,8,31259.12,2026-04
GBPCAD,2026-04-28,SHORT,LONDON,Cross,1.84511,1.84258,TP2,2.48,626.2,True,8,31885.32,2026-04
XAUUSD,2026-04-29,SHORT,LONDON,Metal,4600.9,4603.82,SL,0.55,-160.6,False,10,31724.72,2026-04
GBPCAD,2026-04-29,LONG,LONDON,Cross,1.84707,1.84602,SL,2.42,-254.1,False,8,31470.62,2026-04
GBPAUD,2026-04-30,LONG,NY,Cross,1.88993,1.88804,SL,1.33,-251.37,False,8,31219.25,2026-04
NZDUSD,2026-04-30,SHORT,LONDON,Major,0.58386,0.58493,SL,2.33,-249.31,False,7,30969.94,2026-04
XAUUSD,2026-05-01,SHORT,LONDON,Metal,4626.72,4612.12,TP2,0.27,394.2,True,10,31364.14,2026-05
GBPCAD,2026-05-01,LONG,LONDON,Cross,1.84683,1.84795,TRAIL,1.33,200.36,True,8,31564.5,2026-05
AUDUSD,2026-05-05,LONG,NY,Major,0.71574,0.71643,TRAIL,2.1,198.45,True,9,31762.95,2026-05
USDCAD,2026-05-05,SHORT,LONDON,Major,1.36255,1.36154,TRAIL,2.05,230.42,True,7,31993.37,2026-05
GBPCAD,2026-05-06,SHORT,LONDON,Cross,1.84664,1.84818,SL,1.66,-255.64,False,8,31737.73,2026-05
GER40.cash,2026-05-07,LONG,NY,Index,24890.21,24832.81,SL,4.42,-253.71,False,8,31484.02,2026-05
AUDNZD,2026-05-07,SHORT,LONDON,Cross,1.21522,1.21303,EOD_trail,1.07,243.42,True,4,31727.44,2026-05
HK50.cash,2026-05-08,LONG,LONDON,Index,26322.28,26435.616,TRAIL,3.12,303.6,True,9,32031.04,2026-05
EURNZD,2026-05-08,SHORT,LONDON,Cross,1.975,1.97223,TP2,2.31,641.02,True,8,32672.06,2026-05
EURNZD,2026-05-12,SHORT,LONDON,Cross,1.97621,1.97422,TRAIL,0.99,228.74,True,8,32900.8,2026-05
GBPCAD,2026-05-12,LONG,LONDON,Cross,1.85977,1.8586,SL,2.25,-263.25,False,8,32637.55,2026-05
HK50.cash,2026-05-13,LONG,LONDON,Index,26244.48,26351.93,TP2,6.07,652.22,True,9,33289.77,2026-05
GBPUSD,2026-05-13,SHORT,LONDON,Major,1.35432,1.35259,TRAIL,1.5,262.95,True,8,33552.72,2026-05
XAUUSD,2026-05-14,LONG,LONDON,Metal,4677.95,4702.825,TP2,0.17,422.87,True,10,33975.59,2026-05
EURNZD,2026-05-14,SHORT,LONDON,Cross,1.97395,1.97319,TRAIL,1.5,192.52,True,8,34168.11,2026-05
GBPCAD,2026-05-19,LONG,LONDON,Cross,1.84256,1.84445,TRAIL,1.06,237.6,True,8,34405.71,2026-05
GBPCAD,2026-05-20,SHORT,LONDON,Cross,1.84407,1.8416,TP2,2.78,688.05,True,8,35093.76,2026-05
GBPAUD,2026-05-20,LONG,LONDON,Cross,1.88344,1.88205,SL,2.02,-280.78,False,8,34812.98,2026-05
GER40.cash,2026-05-21,LONG,LONDON,Index,24703.84,24756.59,TP2,13.2,696.3,True,8,35509.28,2026-05
HK50.cash,2026-05-22,SHORT,LONDON,Index,25710.08,25615.33,TP2,7.5,710.62,True,9,36219.9,2026-05
USDCHF,2026-05-22,LONG,NY,Major,0.78581,0.78601,TRAIL,3.18,176.01,True,7,36395.91,2026-05
GBPAUD,2026-05-26,LONG,LONDON,Cross,1.8809,1.88218,TRAIL,3.1,343.79,True,8,36739.7,2026-05
XAUUSD,2026-05-27,SHORT,LONDON,Metal,4510.18,4512.51,SL,0.79,-184.07,False,10,36555.63,2026-05
EURNZD,2026-05-28,SHORT,LONDON,Cross,1.97436,1.97287,TRAIL,1.18,233.58,True,8,36789.21,2026-05
GBPCAD,2026-05-28,LONG,LONDON,Cross,1.85544,1.85646,TRAIL,1.31,214.51,True,8,37003.72,2026-05
GBPAUD,2026-05-29,SHORT,LONDON,Cross,1.87677,1.87638,TRAIL,2.04,187.17,True,8,37190.89,2026-05
GER40.cash,2026-05-29,LONG,LONDON,Index,25083.44,25149.19,TP2,11.31,743.63,True,8,37934.52,2026-05
AUDUSD,2026-06-02,LONG,LONDON,Major,0.71555,0.71783,TP2,3.33,757.58,True,9,38692.1,2026-06
EURNZD,2026-06-02,SHORT,LONDON,Cross,1.96063,1.96295,SL,1.33,-308.56,False,8,38383.54,2026-06
